iter	Passed	Remaining
500	361	359
501	361	358
502	362	357
503	362	356
504	363	355
505	363	354
506	363	353
507	364	352
508	364	351
509	364	350
510	365	349
511	365	348
512	366	347
513	366	346
514	366	345
515	367	344
516	367	343
517	368	342
518	368	341
519	368	340
520	369	339
521	369	338
522	370	337
523	370	336
524	370	335
525	371	334
526	371	333
527	372	332
528	372	331
529	372	330
530	373	329
531	373	328
532	373	327
533	374	326
534	374	325
535	375	324
536	375	323
537	376	322
538	376	322
539	376	321
540	377	320
541	377	319
542	378	318
543	378	317
544	379	316
545	379	315
546	380	314
547	380	313
548	381	312
549	381	312
550	381	311
551	382	310
552	382	309
553	383	308
554	383	307
555	383	306
556	384	305
557	384	304
558	384	303
559	385	302
560	385	301
561	386	300
562	386	300
563	386	299
564	387	298
565	387	297
566	388	296
567	388	295
568	388	294
569	389	293
570	389	292
571	390	291
572	390	290
573	390	290
574	391	289
575	391	288
576	391	287
577	392	286
578	392	285
579	393	284
580	393	283
581	393	282
582	394	282
583	394	281
584	395	280
585	395	279
586	395	278
587	396	277
588	396	276
589	397	275
590	397	275
591	397	274
592	398	273
593	398	272
594	399	271
595	399	270
596	399	269
597	400	269
598	400	268
599	400	267
600	401	266
601	401	265
602	402	264
603	402	263
604	402	263
605	403	262
606	403	261
607	404	260
608	404	259
609	405	258
610	405	258
611	405	257
612	406	256
613	406	255
614	406	254
615	407	253
616	407	253
617	408	252
618	408	251
619	408	250
620	409	249
621	409	249
622	410	248
623	410	247
624	410	246
625	411	245
626	411	244
627	411	244
628	412	243
629	412	242
630	413	241
631	413	240
632	413	240
633	414	239
634	414	238
635	415	237
636	415	236
637	415	235
638	416	235
639	416	234
640	417	233
641	417	232
642	417	232
643	418	231
644	418	230
645	419	229
646	419	229
647	420	228
648	421	227
649	421	227
650	422	226
651	422	225
652	422	224
653	423	223
654	423	223
655	424	222
656	424	221
657	425	221
658	425	220
659	426	219
660	426	218
661	427	218
662	427	217
663	428	216
664	428	215
665	429	215
666	429	214
667	430	213
668	430	213
669	431	212
670	431	211
671	432	210
672	432	210
673	433	209
674	433	208
675	434	208
676	434	207
677	434	206
678	435	205
679	435	205
680	436	204
681	436	203
682	436	202
683	437	202
684	437	201
685	438	200
686	438	199
687	438	198
